artist_id,artist_name
1,Shawn Mendes
2,Anuel AA
3,Ariana Grande
4,Ed Sheeran
5,Post Malone
6,Lil Tecca
7,Sam Smith
8,Lil Nas X
9,Billie Eilish
10,Bad Bunny
11,DJ Snake
12,Lewis Capaldi
13,Sech
14,Drake
15,Chris Brown
16,J Balvin
17,Y2K
18,Lizzo
19,MEDUZA
20,Jhay Cortez
21,Lunay
22,Tones and I
23,Ali Gatie
24,Daddy Yankee
25,The Chainsmokers
26,Maluma
27,Young Thug
28,Katy Perry
29,Martin Garrix
30,Jonas Brothers
31,Lauv
32,Kygo
33,Taylor Swift
34,Lady Gaga
35,Khalid
36,ROSALÍA
37,Marshmello
38,Nicky Jam
