nomination_id,artist_id,year,award_type,award_name,work,winner
1,3,2019,Work,Record Of The Year,7 rings,False
2,35,2019,Work,Record Of The Year,Talk,False
3,18,2019,Work,Record Of The Year,Truth Hurts,False
4,9,2019,Work,Record Of The Year,Bad Guy,True
5,3,2019,Work,Album Of The Year,"thank u, next",False
6,8,2019,Work,Album Of The Year,7,False
7,18,2019,Work,Album Of The Year,Cuz I Love You (Deluxe),False
8,9,2019,Work,Album Of The Year,"When We All Fall Asleep, Where Do We Go?",True
9,8,2019,Nominee,Best New Artist,,False
10,18,2019,Nominee,Best New Artist,,False
11,36,2019,Nominee,Best New Artist,,False
12,9,2019,Nominee,Best New Artist,,True
13,26,2019,Work,Best Latin Pop Album,11:11,False
14,3,2019,Work,Best Pop Vocal Album,"thank u, next",False
15,4,2019,Work,Best Pop Vocal Album,No.6 Collaborations Project,False
16,33,2019,Work,Best Pop Vocal Album,Lover,False
17,9,2019,Work,Best Pop Vocal Album,"When We All Fall Asleep, Where Do We Go?",True
18,10,2019,Work,"Best Latin Rock, Urban Or Alternative Album",X 100Pre,False
19,36,2019,Work,"Best Latin Rock, Urban Or Alternative Album",El Mal Querer,True
20,18,2019,Work,Best Traditional R&B Performance,Jerome,True
21,8,2019,Work,Best Rap/Sung Performance,Panini,False
22,3,2019,Work,Best Pop Solo Performance,7 rings,False
23,9,2019,Work,Best Pop Solo Performance,Bad Guy,False
24,33,2019,Work,Best Pop Solo Performance,You Need To Calm Down,False
25,18,2019,Work,Best Pop Solo Performance,Truth Hurts,True
26,30,2019,Work,Best Pop Duo/Group Performance,Sucker,False
27,18,2019,Work,Best Urban Contemporary Album,Cuz I Love You (Deluxe),True
