track_id,track_name,artist_id,genre_id,popularity
1,Señorita,1,1,79
2,China,2,2,92
3,boyfriend (with Social House),3,3,85
4,Beautiful People (feat. Khalid),4,4,86
5,Goodbyes (Feat. Young Thug),5,5,94
6,I Don't Care (with Justin Bieber),4,4,84
7,Ransom,6,6,92
8,How Do You Sleep?,7,4,90
9,Old Town Road - Remix,8,7,87
10,bad guy,9,8,95
11,Callaita,10,9,93
12,Loco Contigo (feat. J. Balvin & Tyga),11,3,86
13,Someone You Loved,12,4,88
14,Otro Trago - Remix,13,10,87
15,Money In The Grave (Drake ft. Rick Ross),14,11,92
16,No Guidance (feat. Drake),15,3,82
17,LA CANCIÓN,16,12,90
18,Sunflower - Spider-Man: Into the Spider-Verse,5,5,91
19,Lalala,17,11,88
20,Truth Hurts,18,13,91
21,Piece Of Your Heart,19,14,91
22,Panini,8,7,91
23,No Me Conoce - Remix,20,2,83
24,Soltera - Remix,21,12,91
25,bad guy (with Justin Bieber),9,8,89
26,If I Can't Have You,1,1,70
27,Dance Monkey,22,15,83
28,It's You,23,11,89
29,Con Calma,24,12,91
30,QUE PRETENDES,16,12,89
31,Takeaway,25,16,84
32,7 rings,3,3,89
33,0.958333333333333,26,9,89
34,The London (feat. J. Cole & Travis Scott),27,17,89
35,Never Really Over,28,3,89
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),29,18,89
37,Otro Trago,13,10,91
38,Antisocial (with Travis Scott),4,4,87
39,Sucker,30,19,80
40,"fuck, i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3",31,3,78
41,Higher Love,32,16,88
42,You Need To Calm Down,33,3,90
43,Shallow,34,3,87
44,Talk,35,4,84
45,Con Altura,36,20,88
46,One Thing Right,37,21,88
47,Te Robaré,38,12,88
48,Happier,37,21,88
49,Call You Mine,25,16,88
50,Cross Me (feat. Chance the Rapper & PnB Rock),4,4,82
